  Simulation Run Time    Total Tests    Falsifieds Found    Stocked Out Found
---------------------  -------------  ------------------  -------------------
              9.47208           1800                 156                   29
  Node ID    Number of Samples    Number Falsified    Number Stocked Out
---------  -------------------  ------------------  --------------------
       12                   17                   0                     1
       13                   17                   1                     0
       14                   17                   1                     0
       15                   17                   1                     0
       16                   17                   5                     0
       17                   17                   1                     0
       18                   17                   1                     0
       19                   17                   1                     0
       20                   17                   1                     0
       21                   17                   1                     0
       22                   17                   1                     0
       23                   17                   1                     0
       24                   17                   1                     0
       25                   17                   1                     0
       26                   17                   1                     0
       27                   17                   1                     1
       28                   17                   1                     0
       29                   17                   1                     0
       30                   17                   1                     0
       31                   17                   1                     0
       32                   17                   2                     0
       33                   17                   1                     0
       34                   17                   1                     0
       35                   17                   1                     0
       36                   17                   1                     0
       37                   17                   1                     0
       38                   17                   1                     0
       39                   17                   2                     0
       40                   17                   2                     0
       41                   17                   2                     0
       42                   17                   3                     0
       43                   17                   3                     0
       44                   17                   3                     0
       45                   17                   1                     0
       46                   17                   1                     1
       47                   17                   2                     0
       48                   17                   2                     0
       49                   17                   2                     1
       50                   17                   2                     0
       51                   17                   2                     0
       52                   17                   2                     0
       53                   17                   1                     4
       54                   17                   1                     1
       55                   17                   1                     1
       56                   17                   1                     3
       57                   17                   1                     2
       58                   17                   1                     4
       59                   17                   4                     0
       60                   17                   6                     0
       61                   17                   4                     0
       62                   17                   8                     0
       63                   17                   1                     0
       64                   17                   3                     0
       65                   17                   0                     0
       66                   17                   1                     0
       67                   17                   0                     0
       68                   17                   0                     0
       69                   17                   0                     0
       70                   17                   0                     1
       71                   17                   0                     0
       72                   17                   1                     0
       73                   17                   0                     0
       74                   17                   0                     1
       75                   17                   0                     1
       76                   17                   0                     0
       77                   17                   0                     0
       78                   17                   0                     0
       79                   17                   0                     0
       80                   17                   0                     0
       81                   17                   0                     0
       82                   17                   0                     1
       83                   17                   1                     0
       84                   17                   1                     0
       85                   17                   1                     1
       86                   17                   1                     0
       87                   17                   1                     0
       88                   17                   1                     0
       89                   17                   3                     0
       90                   17                   1                     0
       91                   17                   3                     1
       92                   17                   1                     0
       93                   17                   1                     0
       94                   17                   2                     0
       95                   17                   1                     1
       96                   17                   1                     0
       97                   17                   3                     0
       98                   17                   1                     0
       99                   17                   2                     0
      100                   17                   2                     0
      101                   17                   1                     0
      102                   17                   2                     0
      103                   17                   2                     0
      104                   17                   1                     0
      105                   17                   6                     0
      106                   17                   1                     0
      107                   17                   1                     0
      108                   17                   1                     0
      109                   17                   1                     0
      110                   17                   1                     0
      111                   17                   4                     0
      112                   17                   3                     0
      113                   17                   1                     1
      114                   17                   1                     2
      115                   17                   3                     0
      116                   16                   3                     0
      117                   16                   3                     0
  Root ID    End Consumption  Overall Percentage
---------  -----------------  --------------------
        0            2561079  91.0%
        1             252641  9.0%
  Intermediate Node ID    Satisfied Demand    Stockout Demand  Stockout %      Inventory Available
----------------------  ------------------  -----------------  ------------  ---------------------
                     2              266640             222210  45.5%                          3360
                     3              298035             236175  44.2%                          1965
                     4              257760             196620  43.3%                          4740
                     5              309210             234315  43.1%                          5790
                     6              292500             220740  43.0%                          7500
                     7              250860             110730  30.6%                          4140
                     8              238950             171825  41.8%                          8550
                     9              232500             213075  47.8%                          7500
                    10              261915             180840  40.8%                          8085
                    11              255000             170940  40.1%                          7500
  End Node ID    Satisfied Demand    Stockout Demand    Stockout Days  Stockout %      Inventory Available
-------------  ------------------  -----------------  ---------------  ------------  ---------------------
           12               23095                 82                7  0.4%                            365
