  Simulation Run Time    Total Tests    Falsifieds Found    Stocked Out Found
---------------------  -------------  ------------------  -------------------
              10.9154           1800                  73                   28
  Node ID    Number of Samples    Number Falsified    Number Stocked Out
---------  -------------------  ------------------  --------------------
       12                   17                   0                     1
       13                   17                   1                     0
       14                   17                   1                     1
       15                   17                   1                     0
       16                   17                   0                     1
       17                   17                   1                     0
       18                   17                   0                     1
       19                   17                   0                     0
       20                   17                   1                     0
       21                   17                   0                     0
       22                   17                   0                     1
       23                   17                   1                     0
       24                   17                   1                     1
       25                   17                   0                     0
       26                   17                   0                     0
       27                   17                   2                     0
       28                   17                   1                     0
       29                   17                   1                     0
       30                   17                   0                     0
       31                   17                   1                     0
       32                   17                   1                     0
       33                   17                   0                     0
       34                   17                   0                     0
       35                   17                   0                     0
       36                   17                   1                     0
       37                   17                   0                     0
       38                   17                   0                     0
       39                   17                   0                     0
       40                   17                   2                     0
       41                   17                   2                     0
       42                   17                   0                     0
       43                   17                   3                     0
       44                   17                   0                     0
       45                   17                   1                     0
       46                   17                   0                     1
       47                   17                   0                     1
       48                   17                   0                     1
       49                   17                   2                     0
       50                   17                   2                     0
       51                   17                   0                     1
       52                   17                   2                     0
       53                   17                   2                     1
       54                   17                   0                     2
       55                   17                   2                     0
       56                   17                   1                     2
       57                   17                   0                     2
       58                   17                   0                     2
       59                   17                   4                     0
       60                   17                   0                     0
       61                   17                   0                     0
       62                   17                   0                     0
       63                   17                   1                     0
       64                   17                   1                     0
       65                   17                   0                     0
       66                   17                   0                     0
       67                   17                   0                     1
       68                   17                   0                     0
       69                   17                   0                     0
       70                   17                   0                     0
       71                   17                   0                     0
       72                   17                   0                     1
       73                   17                   0                     0
       74                   17                   0                     0
       75                   17                   0                     0
       76                   17                   0                     1
       77                   17                   0                     0
       78                   17                   0                     0
       79                   17                   0                     0
       80                   17                   0                     0
       81                   17                   0                     0
       82                   17                   0                     1
       83                   17                   1                     0
       84                   17                   1                     1
       85                   17                   0                     1
       86                   17                   1                     0
       87                   17                   1                     0
       88                   17                   0                     0
       89                   17                   1                     0
       90                   17                   1                     0
       91                   17                   2                     0
       92                   17                   1                     1
       93                   17                   0                     0
       94                   17                   1                     0
       95                   17                   1                     0
       96                   17                   1                     0
       97                   17                   0                     0
       98                   17                   3                     0
       99                   17                   0                     0
