  Simulation Run Time    Total Tests    Falsifieds Found    Stocked Out Found
---------------------  -------------  ------------------  -------------------
              8.05389           1800                  68                   34
  Node ID    Number of Samples    Number Falsified    Number Stocked Out
---------  -------------------  ------------------  --------------------
       12                   17                   0                     0
       13                   21                   0                     0
       14                   12                   0                     0
       15                   18                   0                     0
       16                   15                   0                     1
       17                   16                   0                     1
       18                    9                   0                     0
       19                   17                   2                     0
       20                   17                   1                     0
       21                   14                   1                     0
       22                   15                   0                     0
       23                   10                   0                     0
       24                   14                   2                     0
       25                   24                   3                     0
       26                   13                   0                     0
       27                   14                   0                     0
       28                   14                   0                     2
       29                   20                   0                     0
       30                   20                   0                     0
       31                   11                   0                     0
       32                   23                   0                     0
       33                   18                   0                     0
       34                   17                   0                     0
       35                   22                   0                     0
       36                   16                   0                     0
       37                   14                   1                     0
       38                   22                   2                     0
       39                    9                   0                     0
       40                   16                   2                     0
       41                   27                   0                     2
       42                   17                   0                     1
       43                   17                   5                     0
       44                   16                   0                     1
       45                   11                   0                     0
       46                   18                   0                     1
       47                    8                   0                     0
       48                   17                   0                     0
       49                   15                   0                     0
       50                   23                   0                     0
       51                   18                   0                     1
       52                   20                   0                     0
       53                   19                   2                     3
       54                   12                   0                     0
       55                   24                   2                     2
       56                   14                   0                     0
       57                   12                   0                     0
       58                   17                   2                     0
       59                   17                   4                     0
       60                   16                   0                     0
       61                   18                   0                     0
       62                   13                   0                     0
       63                   15                   0                     1
       64                   15                   0                     0
       65                   16                   0                     0
       66                   17                   0                     0
       67                   20                   0                     2
       68                   16                   0                     0
       69                   19                   1                     0
       70                   17                   0                     1
       71                   16                   2                     0
       72                   24                   3                     0
       73                   18                   0                     0
       74                   20                   0                     1
       75                   31                   1                     0
       76                   20                   0                     0
       77                   12                   0                     0
       78                   14                   0                     1
       79                   18                   0                     2
       80                   21                   0                     0
       81                   17                   0                     0
       82                   13                   0                     0
       83                   16                   0                     0
       84                   13                   1                     0
       85                   25                   2                     0
       86                   15                   0                     0
       87                   10                   1                     1
       88                   18                   0                     1
       89                   23                   3                     0
       90                   19                   0                     0
       91                   18                   0                     0
       92                   13                   0                     0
       93                   15                   0                     1
       94                   16                   0                     0
       95                   16                   0                     0
       96                   17                   1                     0
       97                   20                   2                     0
       98                    9                   1                     0
       99                   16                   2                     0
      100                   24                   1                     0
      101                   10                   0                     1
      102                   15                   0                     0
      103                   13                   0                     0
      104                   13                   0                     1
      105                   14                   2                     0
      106                   18                   0                     0
      107                   27                   1                     0
      108                   21                   0                     0
      109                   21                   0                     0
      110                   13                   0                     1
      111                   23                   0                     2
      112                   15                   3                     0
      113                   13                   0                     2
      114                   15                   0                     1
      115                   17                   5                     0
      116                   27                   7                     0
      117                   26                   0                     0
  Root ID    End Consumption  Overall Percentage
---------  -----------------  --------------------
        0            2694876  96.4%
        1             101947  3.6%
  Intermediate Node ID    Satisfied Demand    Stockout Demand  Stockout %      Inventory Available
----------------------  ------------------  -----------------  ------------  ---------------------
                     2              279975             629460  69.2%                          5025
                     3              324120             577455  64.0%                          5880
                     4              276450             536625  66.0%                          8550
                     5              323310             534420  62.3%                          6690
                     6              320070             620550  66.0%                          2430
                     7              234750             358800  60.4%                          5250
                     8              240330             479445  66.6%                          7170
                     9              266295             503610  65.4%                          3705
                    10              266190             414255  60.9%                          3810
                    11              270000             409320  60.3%                          7500
  End Node ID    Satisfied Demand    Stockout Demand    Stockout Days  Stockout %      Inventory Available
-------------  ------------------  -----------------  ---------------  ------------  ---------------------
           12               23095                104                5  0.4%                            365
           13               23012                182                9  0.8%                            148
           14               21779                370                8  1.7%                            301
           15               26311                228                9  0.9%                           1484
           16               27138                414               11  1.5%                            162
           17               27729                423               12  1.5%                           1701
           18               26889                312                7  1.1%                            906
           19               27025                 78                4  0.3%                            770
           20               27284                123                4  0.4%                            511
           21               26732                 76                2  0.3%                           1063
           22               27643                360               10  1.3%                            152
           23               26821                287               11  1.1%                            974
           24               26986                 50                3  0.2%                            809
           25               21986                 42                2  0.2%                           1219
           26               21840                 62                5  0.3%                           1365
           27               22049                238                7  1.1%                           1156
           28               25071                421               12  1.7%                           1194
           29               25558                251                8  1.0%                            707
           30               26064                389               11  1.5%                            201
           31               26468                 84                3  0.3%                           1342
           32               25493                399                8  1.5%                            772
           33               24709                369                7  1.5%                           1556
           34               26004                388               11  1.5%                            696
           35               24991                348                8  1.4%                           1529
           36               25769                377                8  1.4%                            751
           37               27071                 78                1  0.3%                           1009
           38               25834                 73                2  0.3%                            686
           39               25548                417               10  1.6%                           2127
           40               25788                127                3  0.5%                           1887
           41               25185                525               11  2.0%                           2490
           42               26336                399               10  1.5%                           1339
           43               22763                 47                1  0.2%                           2062
           44               23925                385                9  1.6%                            900
           45               27493                165                4  0.6%                            557
           46               28314                411                9  1.4%                           2286
           47               27392                460               10  1.7%                            658
           48               28219                430               11  1.5%                           2381
           49               27639                502               11  1.8%                           1206
           50               28224                377                8  1.3%                           2376
           51               27761                238                9  0.9%                            289
           52               28087                 81                3  0.3%                           2513
           53               26277               2430               55  8.5%                            228
           54               25170               2186               55  8.0%                            480
           55               26505               1976               55  6.9%                            855
           56               26647               2898               68  9.8%                            713
           57               26629               1993               52  7.0%                            731
           58               26505               2166               56  7.6%                            855
           59               27110                 43                1  0.2%                           2065
           60               27144                633               12  2.3%                            501
           61               27426                582               13  2.1%                           3789
           62               26763                518               12  1.9%                           1572
           63               25768                347                8  1.3%                            152
           64               26877                 52                2  0.2%                            663
           65               25792                 91                6  0.4%                            128
           66               26274                429               12  1.6%                            186
           67               26209                247                8  0.9%                            521
           68               27015                522               16  1.9%                            525
           69               27585                 48                6  0.2%                            765
           70               26482                279               10  1.0%                            248
           71               26775                116                9  0.4%                            765
           72               26161                112                4  0.4%                            569
           73               26362                 79                7  0.3%                            368
           74               25930                381               12  1.4%                            800
           75               28131                 66                2  0.2%                            219
           76               26594                101                7  0.4%                            136
           77               27503                 70                4  0.3%                            847
           78               25945                516               19  2.0%                            785
           79               26886                291               10  1.1%                            819
           80               27117                115                4  0.4%                            423
           81               26923                 65                7  0.2%                            617
