  Simulation Run Time    Total Tests    Falsifieds Found    Stocked Out Found
---------------------  -------------  ------------------  -------------------
               13.918           1800                 345                   19
  Node ID    Number of Samples    Number Falsified    Number Stocked Out
---------  -------------------  ------------------  --------------------
       12                   17                   1                     1
       13                   17                   2                     0
       14                   17                   1                     0
       15                   17                   1                     0
       16                   17                   8                     0
       17                   17                   1                     0
       18                   17                   1                     1
       19                   17                   3                     0
       20                   17                   1                     0
       21                   17                   1                     0
       22                   17                   1                     0
       23                   17                  17                     0
       24                   17                   2                     0
       25                   17                   3                     1
       26                   17                   1                     0
       27                   17                   1                     0
       28                   17                   1                     0
       29                   17                   1                     0
       30                   17                   3                     0
       31                   17                   1                     0
       32                   17                   1                     0
       33                   17                   1                     0
       34                   17                   2                     0
       35                   17                   1                     0
       36                   17                  17                     0
       37                   17                   5                     0
       38                   17                   1                     0
       39                   17                   1                     0
       40                   17                   4                     0
       41                   17                   2                     0
       42                   17                   2                     0
       43                   17                   3                     0
       44                   17                   4                     0
       45                   17                   1                     0
       46                   17                   1                     1
       47                   17                   2                     0
       48                   17                   4                     0
       49                   17                   2                     0
       50                   17                   5                     0
       51                   17                   2                     0
       52                   17                   2                     0
       53                   17                   2                     1
       54                   17                   1                     1
       55                   17                   3                     3
       56                   17                   1                     1
       57                   17                   5                     1
       58                   17                  13                     2
       59                   17                  16                     0
       60                   17                  17                     0
       61                   17                   4                     0
       62                   17                   3                     0
       63                   17                   1                     0
       64                   17                   1                     0
       65                   17                   1                     0
       66                   17                   1                     0
       67                   17                   0                     0
       68                   17                   0                     0
       69                   17                   0                     0
       70                   17                   0                     0
       71                   17                  17                     0
       72                   17                   2                     0
       73                   17                   0                     0
       74                   17                   0                     0
       75                   17                   0                     0
       76                   17                   0                     0
       77                   17                   0                     0
       78                   17                   0                     0
       79                   17                  16                     1
       80                   17                   0                     0
       81                   17                   0                     1
       82                   17                   0                     1
       83                   17                   1                     0
       84                   17                   1                     0
       85                   17                   1                     1
       86                   17                   2                     0
       87                   17                   1                     0
       88                   17                   1                     0
       89                   17                   3                     0
       90                   17                   4                     0
       91                   17                   3                     0
       92                   17                   1                     0
       93                   17                  17                     0
       94                   17                   1                     0
       95                   17                   1                     0
       96                   17                   1                     0
       97                   17                   1                     0
       98                   17                   2                     0
       99                   17                   3                     0
      100                   17                   1                     1
      101                   17                   2                     0
      102                   17                   1                     0
      103                   17                   1                     0
      104                   17                   3                     0
      105                   17                   3                     0
      106                   17                   7                     0
      107                   17                   3                     0
      108                   17                   1                     0
      109                   17                   1                     0
      110                   17                   2                     0
      111                   17                  12                     0
      112                   17                  12                     0
      113                   17                   1                     1
      114                   17                  15                     0
      115                   17                   3                     0
      116                   16                   6                     0
      117                   16                   9                     0
  Root ID    End Consumption  Overall Percentage
---------  -----------------  --------------------
        0            2261861  80.5%
        1             549428  19.5%
  Intermediate Node ID    Satisfied Demand    Stockout Demand  Stockout %      Inventory Available
----------------------  ------------------  -----------------  ------------  ---------------------
                     2              319560             144810  31.2%                          2940
                     3              313305             226155  41.9%                          1695
                     4              267330             162360  37.8%                          2670
                     5              321180             192810  37.5%                          8820
                     6              283470             196815  41.0%                          1530
                     7              220860             126870  36.5%                          4140
                     8              223335             171555  43.4%                          1665
                     9              255000             187575  42.4%                          7500
                    10              232140             157845  40.5%                          7860
                    11              240000             149340  38.4%                          7500
