  Simulation Run Time    Total Tests    Falsifieds Found    Stocked Out Found
---------------------  -------------  ------------------  -------------------
               10.033           1800                 351                   24
  Node ID    Number of Samples    Number Falsified    Number Stocked Out
---------  -------------------  ------------------  --------------------
       12                   25                   9                     0
       13                   12                   0                     0
       14                   26                   3                     0
       15                   17                   0                     0
       16                   11                   1                     0
       17                   14                   0                     0
       18                   22                   4                     0
       19                   10                   0                     0
       20                   14                   1                     0
       21                   16                   1                     0
       22                   18                   1                     0
       23                   15                  15                     0
       24                   14                   0                     0
       25                   27                   9                     0
       26                   19                   1                     0
       27                   23                   2                     0
       28                   14                   1                     0
       29                   11                   2                     0
       30                   17                   3                     0
       31                   17                   2                     0
       32                   18                   2                     0
       33                   18                   0                     0
       34                   20                   1                     0
       35                   20                   3                     0
       36                   15                  15                     0
       37                   23                   2                     0
       38                   19                   2                     1
       39                   18                   2                     0
       40                   14                  10                     0
       41                   18                   0                     0
       42                   14                   1                     0
       43                   22                   6                     1
       44                   15                   0                     0
       45                   17                   1                     0
       46                   19                   2                     0
       47                   14                   1                     0
       48                   10                   5                     0
       49                    7                   0                     0
       50                   18                   1                     0
       51                   17                   4                     0
       52                   14                   1                     0
       53                   20                   1                     5
       54                   14                   0                     2
       55                   19                   2                     1
       56                   13                   0                     2
       57                   21                   2                     3
       58                   13                  13                     0
       59                   14                  14                     0
       60                   17                  17                     0
       61                   11                   2                     0
       62                   17                   6                     0
       63                   14                   3                     0
       64                   15                   0                     0
       65                   18                   0                     1
       66                   27                   2                     0
       67                   20                   1                     0
       68                   16                   1                     0
       69                   17                   0                     0
       70                   20                   2                     0
       71                   11                  10                     1
       72                   13                   0                     0
       73                    6                   0                     0
       74                   14                   0                     1
       75                   15                   0                     0
       76                   11                   1                     0
       77                   20                   0                     0
       78                   13                   0                     0
       79                   21                  19                     0
       80                   10                   0                     1
       81                   22                   0                     0
       82                   10                   0                     0
       83                   17                   1                     0
       84                   21                   0                     0
       85                   18                   1                     1
       86                   19                   2                     0
       87                   17                   0                     0
       88                   18                   1                     0
