  Simulation Run Time    Total Tests    Falsifieds Found    Stocked Out Found
---------------------  -------------  ------------------  -------------------
              10.1331           1800                 168                   21
  Node ID    Number of Samples    Number Falsified    Number Stocked Out
---------  -------------------  ------------------  --------------------
       12                   25                   1                     0
       13                   16                   1                     0
       14                   15                   2                     0
       15                   16                   0                     0
       16                   22                   6                     0
       17                   14                   1                     0
       18                   15                   1                     0
       19                   23                   1                     0
       20                   16                   1                     0
       21                   21                   0                     0
       22                   19                   2                     0
       23                   10                   1                     0
       24                   25                   3                     0
       25                   17                   2                     0
       26                   22                   0                     0
       27                   12                   2                     0
       28                    9                   0                     0
       29                   18                   1                     0
       30                   11                   0                     0
       31                   12                   0                     0
       32                   13                   1                     1
       33                   11                   2                     0
       34                   22                   3                     0
       35                   17                   1                     0
       36                   16                   0                     0
       37                   22                   2                     0
       38                   16                   1                     0
       39                   17                   2                     0
       40                   24                   1                     0
       41                   18                   2                     0
       42                   17                   1                     0
       43                   17                   1                     0
       44                   13                   3                     0
       45                   19                   2                     0
       46                   18                   1                     0
       47                   18                   2                     0
       48                   12                   2                     0
       49                   14                   2                     0
       50                   18                   3                     0
       51                   13                   1                     0
       52                   13                   2                     1
       53                   19                   2                     2
       54                   14                   0                     2
       55                   14                   0                     1
       56                   12                   0                     1
       57                   15                   1                     2
       58                   13                   0                     2
       59                   18                   2                     0
       60                   16                  14                     0
       61                   11                   1                     0
       62                   17                   3                     0
       63                   13                   0                     0
       64                   18                   0                     0
       65                   16                   1                     0
       66                   14                   1                     0
       67                   20                   2                     0
       68                   22                   0                     1
       69                   11                   0                     0
       70                   13                   1                     1
       71                   14                   0                     0
       72                   13                   2                     0
       73                   24                   0                     0
       74                   15                   1                     1
       75                   14                   0                     0
       76                   14                   2                     1
       77                   21                   3                     0
       78                   18                   1                     0
       79                   22                   0                     0
       80                   15                   0                     0
       81                   18                   0                     0
       82                   23                   0                     0
       83                   16                   2                     1
       84                   10                   0                     0
       85                   20                   1                     0
       86                   10                   1                     0
       87                   21                   1                     0
       88                   21                   0                     0
       89                   17                   1                     0
       90                   22                   1                     0
       91                   22                   2                     0
       92                   17                   0                     1
       93                   19                   0                     0
       94                   14                   1                     0
       95                   18                   0                     0
       96                   18                   2                     0
       97                   18                   4                     0
       98                   17                   1                     0
       99                   21                   1                     0
      100                   23                   2                     0
      101                   19                   3                     0
      102                   22                   2                     1
      103                   15                   0                     0
      104                   18                   4                     0
      105                   20                   6                     0
      106                   15                   1                     0
      107                   17                   0                     0
      108                   21                   1                     0
      109                   18                   1                     0
      110                   11                   1                     0
      111                   17                   7                     0
      112                   14                   8                     0
      113                   19                   2                     1
      114                   24                   4                     1
      115                   19                   7                     0
      116                   15                   2                     0
      117                   19                   2                     0
  Root ID    End Consumption  Overall Percentage
---------  -----------------  --------------------
        0            2533524  90.0%
        1             281623  10.0%
  Intermediate Node ID    Satisfied Demand    Stockout Demand  Stockout %      Inventory Available
----------------------  ------------------  -----------------  ------------  ---------------------
                     2              262500             242415  48.0%                          7500
                     3              315000             260295  45.2%                          7500
                     4              247500             219705  47.0%                          7500
                     5              311115             216030  41.0%                          3885
                     6              284625             228870  44.6%                          7875
                     7              222825             145710  39.5%                          2175
                     8              232500             170115  42.3%                          7500
                     9              270810             200715  42.6%                          6690
                    10              262500             168165  39.0%                          7500
                    11              240000             182475  43.2%                          7500
  End Node ID    Satisfied Demand    Stockout Demand    Stockout Days  Stockout %      Inventory Available
-------------  ------------------  -----------------  ---------------  ------------  ---------------------
           12               23261                 30                1  0.1%                            199
           13               22989                149                7  0.6%                            471
           14               22830                 75                4  0.3%                            630
           15               28360                103                4  0.4%                           1070
           16               26971                 43                2  0.2%                            824
           17               26803                 82                2  0.3%                            992
           18               26901                 86                3  0.3%                            894
           19               27145                209                7  0.8%                            650
           20               27107                120                6  0.4%                            688
           21               27522                 74                5  0.3%                            273
           22               26713                 98                3  0.4%                           1082
           23               27719                145                5  0.5%                           1711
           24               27401                 48                2  0.2%                            394
           25               22736                 40                3  0.2%                            469
           26               23725                 46                3  0.2%                            845
           27               22018                 25                2  0.1%                           1187
           28               25672                 58                2  0.2%                            593
           29               25799                 42                3  0.2%                            466
           30               26043                 84                3  0.3%                            222
           31               25566                 60                2  0.2%                            699
           32               25573                 55                5  0.2%                            692
           33               26206                 85                5  0.3%                           1604
           34               25837                 79                4  0.3%                            428
           35               25311                 48                1  0.2%                           1209
           36               27003                 90                5  0.3%                           1077
           37               26136                 45                3  0.2%                            384
           38               25046                  6                1  0.0%                           1474
           39               24927                 68                1  0.3%                           2748
           40               24442                 81                3  0.3%                           3233
           41               25245                 39                1  0.2%                           2430
           42               24675                 80                2  0.3%                           3000
           43               23487                 31                1  0.1%                           1338
           44               23648                 57                1  0.2%                           1177
           45               28808                 11                1  0.0%                           1792
           46               27969                 30                3  0.1%                           2631
           47               28680                 60                3  0.2%                           1920
           48               27396                 49                1  0.2%                            654
           49               27494                 31                3  0.1%                            556
           50               28045                 62                2  0.2%                           2555
           51               28213                101                2  0.4%                           2387
           52               28447                 69                2  0.2%                           2153
           53               26962               2157               57  7.4%                            398
           54               26123               1759               53  6.3%                            382
           55               27016               2084               51  7.2%                            344
           56               26797               1817               51  6.4%                            563
           57               25650               2128               54  7.7%                            855
           58               26336               1886               51  6.7%                            169
           59               28898                 57                2  0.2%                           6112
           60               27295                 41                1  0.1%                           1880
           61               27914                 19                2  0.1%                           1261
           62               28361                 86                1  0.3%                            814
           63               26799                106                4  0.4%                            741
           64               26723                 19                1  0.1%                            817
           65               25842                 31                2  0.1%                             78
           66               27103                141                6  0.5%                            437
           67               25595                 55                3  0.2%                            325
           68               27583                143                8  0.5%                            767
           69               26205                 30                3  0.1%                            525
           70               26430                 43                3  0.2%                            300
           71               26041                125                5  0.5%                            689
           72               26965                 93                4  0.3%                            575
           73               26858                 63                4  0.2%                            682
           74               26262                116                4  0.4%                            468
           75               26604                 72                5  0.3%                            126
           76               27506                108                5  0.4%                            844
           77               27057                117                4  0.4%                            483
           78               26447                 72                4  0.3%                            283
           79               27140                 88                5  0.3%                            400
           80               26817                 48                3  0.2%                            723
           81               27042                 79                3  0.3%                            498
           82               25920                 70                5  0.3%                            810
           83               26712                 75                3  0.3%                            828
           84               26332                 67                5  0.3%                            398
           85               27391                102                5  0.4%                            149
           86               25759                164                8  0.6%                            161
           87               26692                 33                6  0.1%                            848
           88               26039                 76                5  0.3%                            691
           89               26777                161                6  0.6%                            763
           90               25892                136                6  0.5%                            838
           91               26645                 50                4  0.2%                             85
           92               26959                140                7  0.5%                            581
           93               26665                 63                5  0.2%                             65
           94               26725                106                7  0.4%                            815
           95               26684                 76                3  0.3%                            856
           96               27272                144                7  0.5%                            268
           97               27043                 19                2  0.1%                           2117
           98               27426                 31                1  0.1%                           1734
           99               27078                 56                2  0.2%                           2082
          100               26781                148                4  0.5%                           2379
          101               26670                 46                1  0.2%                           2490
          102               27564                 66                2  0.2%                           1596
          103               26460                 37                2  0.1%                            270
          104               27262                120                2  0.4%                           1898
          105               26808                113                3  0.4%                           2352
          106               27495                 66                1  0.2%                           1665
          107               27355                114                4  0.4%                           1805
          108               27137                 96                3  0.4%                           2023
          109               27792                 77                1  0.3%                           1368
          110               26107                106                4  0.4%                            623
          111               27490                  9                1  0.0%                           1160
          112               28465                 49                2  0.2%                           5915
          113               27962               1894               39  6.3%                            913
          114               27543               1586               40  5.4%                           1332
          115               28064                 30                1  0.1%                           1186
          116               27910                  9                1  0.0%                           1340
          117               27810                 41                1  0.1%                           1440
